Date,NumMosquitos,Num_Duplicates,WnvPresent,Year,Month,Day,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,4,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,2,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,2,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,2,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,3,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,3,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,5,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,1,0,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,2,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-06-05,3,1,0,2007,6,5,0,0,1,0,0,0,0,64,47,56,-9,48,51, 0,0417,1923,0.42,5.2,5
2007-06-05,5,1,0,2007,6,5,0,0,0,1,0,0,0,64,47,56,-9,48,51, 0,0417,1923,0.42,5.2,5
2007-06-05,1,1,0,2007,6,5,0,1,0,0,0,0,0,64,47,56,-9,48,51, 0,0417,1923,0.42,5.2,5
2007-06-05,1,1,0,2007,6,5,0,0,1,0,0,0,0,64,47,56,-9,48,51, 0,0417,1923,0.42,5.2,5
2007-06-05,2,1,0,2007,6,5,0,0,0,1,0,0,0,64,47,56,-9,48,51, 0,0417,1923,0.42,5.2,5
2007-06-05,1,1,0,2007,6,5,0,0,1,0,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,2,1,0,2007,6,5,0,0,0,1,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,1,1,0,2007,6,5,0,1,0,0,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,1,1,0,2007,6,5,0,0,0,1,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,1,1,0,2007,6,5,0,0,1,0,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,1,1,0,2007,6,5,0,0,0,1,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,2,1,0,2007,6,5,0,1,0,0,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
2007-06-05,2,1,0,2007,6,5,0,0,0,1,0,0,0,63,51,57,-9,47,52, 0,0417,1923,0.27,6.2,3
